Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Eeli Tolvanen,SEA,RW,25,1999-04-22,Vihti,,FIN,FIN,70,191,2017,NSH,1,30,30
Eetu Luostarinen,FLA,C,26,1998-09-02,Siilinjarvi,,FIN,FIN,75,190,2017,CAR,2,11,42
Egor Zamula,PHI,D,25,2000-03-30,Chelyabinsk,,RUS,RUS,75,177,-,-,-,-,-
Elias Lindholm,BOS,C,30,1994-12-02,Boden,,SWE,SWE,73,202,2013,CAR,1,5,5
Elias Pettersson,VAN,C,26,1998-11-12,Sundsvall,,SWE,SWE,74,176,2017,VAN,1,5,5
Elias Pettersson,VAN,D,21,2004-02-16,,,SWE,,74,185,2022,VAN,3,15,80
Elmer Soderblom,DET,LW,23,2001-07-05,Gothenburg,,SWE,SWE,80,246,2019,DET,6,4,159
Emil Andrae,PHI,D,23,2002-02-23,,,SWE,,69,189,2020,PHI,2,23,54
Emil Bemstrom,PIT,C,25,1999-06-01,Nykoping,,SWE,SWE,72,195,2017,CBJ,4,24,117
Emil Heineman,MTL,LW,23,2001-11-16,Leksand,,SWE,SWE,72,194,2020,FLA,2,12,43
Emil Lilleberg,TBL,D,24,2001-02-02,,,NOR,,74,192,2021,ARI,4,11,107
Eric Robinson,CAR,LW,29,1995-06-14,BELLMAWR,NJ,USA,USA,74,205,-,-,-,-,-
Erik Brannstrom,VAN,D,25,1999-09-02,Eksjo,,SWE,SWE,70,185,2017,VGK,1,15,15
Erik Cernak,TBL,D,27,1997-05-28,Kosice,,SVK,SVK,76,224,2015,L.A,2,13,43
Erik Gudbranson,CBJ,D,33,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,FLA,1,3,3
Erik Gustafsson,DET,D,33,1992-03-14,Nynashamn,,SWE,SWE,72,197,2012,EDM,4,2,93
Erik Haula,NJD,LW,34,1991-03-23,Pori,,FIN,FIN,71,191,2009,MIN,7,1,182
Erik Johnson,"COL, PHI",D,37,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,STL,1,1,1
Erik Karlsson,PIT,D,34,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
Esa Lindell,DAL,D,30,1994-05-23,Vantaa,,FIN,FIN,75,220,2012,DAL,3,13,74
Ethan Cardwell,SJS,RW,22,2002-08-30,,,CAN,,71,180,2021,S.J,4,25,121
Ethan Del Mastro,CHI,D,22,2003-01-15,Burlington,ON,CAN,CAN,76,210,2021,CHI,4,9,105
Ethen Frank,WSH,C,27,1998-02-05,,,USA,,71,185,-,-,-,-,-
Evan Bouchard,EDM,D,25,1999-10-20,Oakville,ON,CAN,CAN,75,194,2018,EDM,1,10,10
Evan Rodrigues,FLA,C,31,1993-07-28,Toronto,ON,CAN,CAN,71,184,-,-,-,-,-
Evgeni Malkin,PIT,C,38,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
Evgenii Dadonov,DAL,RW,36,1989-03-12,Chelyabinsk,,RUS,RUS,71,189,2007,FLA,3,10,71
Fabian Lysell,BOS,RW,22,2003-01-19,Gothenburg,,SWE,SWE,71,176,2021,BOS,1,21,21
Fabian Zetterlund,"OTT, SJS",LW,25,1999-08-25,Karlstad,,SWE,SWE,71,220,2017,N.J,3,1,63
Fedor Svechkov,NSH,C,22,2003-04-05,,,RUS,,72,187,2021,NSH,1,19,19
Filip Chytil,"NYR, VAN",C,25,1999-09-05,Kromeriz,,CZE,CZE,74,204,2017,NYR,1,21,21
Filip Forsberg,NSH,LW,30,1994-08-13,Ostervala,,SWE,SWE,73,205,2012,WSH,1,11,11
Filip Hronek,VAN,D,27,1997-11-02,Hradec Kralove,,CZE,CZE,72,190,2016,DET,2,23,53
Frank Nazar,CHI,C,21,2004-01-14,,,USA,,69,175,2022,CHI,1,13,13
Frank Vatrano,ANA,RW,31,1994-03-14,East Longmeadow,MA,USA,USA,71,197,-,-,-,-,-
Fraser Minten,"BOS, TOR",C,20,2004-07-05,,,CAN,,74,192,2022,TOR,2,6,38
Frederic Brunet,BOS,D,21,2003-08-21,,,CAN,,75,196,2022,BOS,5,3,132
Frederick Gaudreau,MIN,C,31,1993-05-01,Bromont,QC,CAN,CAN,72,184,-,-,-,-,-
Gabe Perreault,NYR,RW,19,2005-05-07,,,CAN,,71,178,2023,NYR,1,23,23
Gabriel Vilardi,WPG,C,25,1999-08-16,Kingston,ON,CAN,CAN,75,215,2017,L.A,1,11,11
Gage Goncalves,TBL,C,24,2001-01-16,,,CAN,,72,181,2020,T.B,2,31,62
Garnet Hathaway,PHI,RW,33,1991-11-23,Kennebunkport,ME,USA,USA,75,208,-,-,-,-,-
Georgii Merkulov,BOS,C,24,2000-10-10,Ryazan,,RUS,RUS,71,179,-,-,-,-,-
Givani Smith,"COL, SJS",RW,27,1998-02-28,Thornhill,ON,CAN,CAN,74,214,2016,DET,2,16,46
Grant Hutton,NYI,D,29,1995-07-25,Carmel,IN,USA,USA,76,214,-,-,-,-,-
Grigori Denisenko,VGK,LW,24,2000-06-24,Novosibirsk,,RUS,RUS,71,186,2018,FLA,1,15,15
Guillaume Brisebois,VAN,D,27,1997-07-21,Longueuil,QC,CAN,CAN,74,175,2015,VAN,3,5,66
Gustav Forsling,FLA,D,28,1996-06-12,Linkoping,,SWE,SWE,72,186,2014,VAN,5,6,126
Gustav Nyquist,"MIN, NSH","C, RW",35,1989-09-01,Halmstad,,SWE,SWE,71,180,2008,DET,4,30,121
Hampus Lindholm,BOS,D,31,1994-01-20,Helsingborg,,SWE,SWE,76,215,2012,ANA,1,6,6
Hayden Hodgson,OTT,RW,29,1996-03-02,Windsor,ON,CAN,CAN,74,208,-,-,-,-,-
Haydn Fleury,WPG,D,28,1996-07-08,Carlyle,SK,CAN,CAN,76,208,2014,CAR,1,7,7
Helge Grans,PHI,D,22,2002-05-10,,,SWE,,76,205,2020,L.A,2,4,35
Hendrix Lapierre,WSH,C,23,2002-02-09,Gatineau,QC,CAN,CAN,72,180,2020,WSH,1,22,22
Henri Jokiharju,"BOS, BUF",D,25,1999-06-17,Oulu,,FIN,FIN,72,200,2017,CHI,1,29,29
Henry Thrun,SJS,D,24,2001-03-12,Southborough,MA,USA,USA,74,190,2019,ANA,4,8,101
Hudson Fasching,NYI,RW,29,1995-07-28,Milwaukee,WI,USA,USA,75,204,2013,L.A,4,27,118
Hunter Brzustewicz,CGY,D,20,2004-11-29,,,USA,,72,190,2023,VAN,3,11,75
Ian Cole,UTA,D,36,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,STL,1,18,18
Ian Mitchell,BOS,D,26,1999-01-18,St. Albert,AB,CAN,CAN,71,193,2017,CHI,2,26,57
Ian Moore,ANA,D,23,2002-01-04,Salt Lake City,UT,USA,USA,74,171,2020,ANA,3,5,67
Ilya Lyubushkin,DAL,D,31,1994-04-06,Moscow,,RUS,RUS,74,200,-,-,-,-,-
Ilya Mikheyev,CHI,RW,30,1994-10-10,Omsk,,RUS,RUS,74,192,-,-,-,-,-
Ilya Solovyov,CGY,D,24,2000-07-20,Mogilev,,BLR,BLR,75,208,2020,CGY,7,19,205
Isaak Phillips,CHI,D,23,2001-09-28,Barrie,ON,CAN,CAN,75,205,2020,CHI,5,17,141
Isac Lundestrom,ANA,C,25,1999-11-06,Gallivare,,SWE,SWE,72,193,2018,ANA,1,23,23
Isaiah George,NYI,D,21,2004-02-15,,,CAN,,73,196,2022,NYI,4,1,98
Isak Rosen,BUF,RW,22,2003-03-15,Solna,,SWE,SWE,71,156,2021,BUF,1,14,14
Ivan Barbashev,VGK,C,29,1995-12-14,Moscow,,RUS,RUS,73,195,2014,STL,2,3,33
Ivan Demidov,MTL,RW,19,2005-12-10,,,RUS,,73,192,2024,MTL,1,5,5
Ivan Ivan,COL,C,22,2002-08-20,,,CZE,,72,190,-,-,-,-,-
Ivan Miroshnichenko,WSH,LW,21,2004-02-04,,,RUS,,73,185,2022,WSH,1,20,20
Ivan Provorov,CBJ,D,28,1997-01-13,Yaroslavl,,RUS,RUS,73,201,2015,PHI,1,7,7
J.J. Moser,TBL,D,24,2000-06-06,Biel,,CHE,CHE,73,173,2021,ARI,2,28,60
J.T. Compher,DET,LW,30,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,BUF,2,5,35
J.T. Miller,"NYR, VAN",C,32,1993-03-14,East Palestine,OH,USA,USA,73,218,2011,NYR,1,15,15
JJ Peterka,BUF,RW,23,2002-01-14,Munich,,DEU,DEU,72,189,2020,BUF,2,3,34
Jaccob Slavin,CAR,D,30,1994-05-01,Denver,CO,USA,USA,75,207,2012,CAR,4,29,120
Jack Ahcan,COL,D,27,1997-05-18,Savage,MN,USA,USA,68,180,-,-,-,-,-
Jack Drury,"CAR, COL",C,25,2000-02-03,New York,NY,USA,USA,71,174,2018,CAR,2,11,42
Jack Eichel,VGK,C,28,1996-10-28,North Chelmsford,MA,USA,USA,74,207,2015,BUF,1,2,2
Jack Finley,TBL,C,-,-,-,-,-,-,-,-,-,-,-,-,-
Jack Hughes,NJD,C,23,2001-05-14,Orlando,FL,USA,USA,71,175,2019,N.J,1,1,1
Jack Johnson,CBJ,D,38,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
Jack McBain,UTA,C,25,2000-01-06,Toronto,ON,CAN,CAN,75,201,2018,MIN,3,1,63
Jack Quinn,BUF,RW,23,2001-09-19,Ottawa,ON,CAN,CAN,73,185,2020,BUF,1,8,8
Jack Roslovic,CAR,C,28,1997-01-29,Columbus,OH,USA,USA,73,200,2015,WPG,1,25,25
Jack St. Ivany,PIT,D,25,1999-07-22,Manhattan Beach,CA,USA,USA,75,198,2018,PHI,4,19,112
Jack Thompson,SJS,D,23,2002-03-19,,,CAN,,73,178,2020,T.B,3,31,93
Jack Williams,CBJ,RW,23,2002-03-02,,,USA,,71,185,-,-,-,-,-
Jackson Blake,CAR,RW,21,2003-08-03,,,USA,,70,152,2021,CAR,4,13,109
Jackson LaCombe,ANA,D,24,2001-01-09,Eden Prairie,MN,USA,USA,73,171,2019,ANA,2,8,39
Jacob Bernard-Docker,"BUF, OTT",D,24,2000-06-30,Canmore,AB,CAN,CAN,72,190,2018,OTT,1,26,26
Jacob Bryson,BUF,D,27,1997-11-18,London,ON,CAN,CAN,69,176,2017,BUF,4,6,99
Jacob Gaucher,PHI,C,24,2001-03-09,,,CAN,,75,185,-,-,-,-,-
Jacob Melanson,SEA,RW,21,2003-04-22,Halifax,NS,CAN,CAN,71,190,2021,SEA,5,3,131
Jacob Moverare,LAK,D,26,1998-08-31,Ostersund,,SWE,SWE,75,210,2016,L.A,4,21,112
Jacob Quillan,TOR,C,23,2002-02-02,,,CAN,,72,201,-,-,-,-,-
Jacob Trouba,"ANA, NYR",D,31,1994-02-26,Rochester,MI,USA,USA,75,203,2012,WPG,1,9,9
Jaden Schwartz,SEA,C,32,1992-06-25,Wilcox,SK,CAN,CAN,70,185,2010,STL,1,14,14
Jake Bean,CGY,D,26,1998-06-09,Calgary,AB,CAN,CAN,73,196,2016,CAR,1,13,13
Jake Christiansen,CBJ,D,25,1999-09-12,West Vancouver,BC,CAN,CAN,72,193,-,-,-,-,-
Jake DeBrusk,VAN,LW,28,1996-10-17,Edmonton,AB,CAN,CAN,72,197,2015,BOS,1,14,14
Jake Evans,MTL,C,28,1996-06-02,Toronto,ON,CAN,CAN,72,186,2014,MTL,7,27,207
Jake Guentzel,TBL,C,30,1994-10-06,Omaha,NE,USA,USA,71,180,2013,PIT,3,16,77
Jake Lucchini,NSH,C,29,1995-05-09,Trail,BC,CAN,CAN,72,180,-,-,-,-,-
Jake McCabe,TOR,D,31,1993-10-12,Eau Claire,WI,USA,USA,73,204,2012,BUF,2,14,44
Jake Middleton,MIN,D,29,1996-01-02,Wainwright,AB,CAN,CAN,75,219,2014,L.A,7,30,210
Jake Neighbours,STL,LW,23,2002-03-29,Calgary,AB,CAN,CAN,72,201,2020,STL,1,26,26
Jake Sanderson,OTT,D,22,2002-07-08,Whitefish,MT,USA,USA,75,195,2020,OTT,1,5,5
Jake Walman,"EDM, SJS",D,29,1996-02-20,Toronto,ON,CAN,CAN,74,215,2014,STL,3,22,82
Jakob Chychrun,WSH,D,27,1998-03-31,Boca Raton,FL,USA,USA,74,220,2016,ARI,1,16,16
Jakob Pelletier,"CGY, PHI",LW,24,2001-03-07,Quebec,QC,CAN,CAN,69,170,2019,CGY,1,26,26
Jakub Lauko,"BOS, MIN",C,25,2000-03-28,Prague,,CZE,CZE,72,196,2018,BOS,3,15,77
Jakub Vrana,"NSH, WSH",LW,29,1996-02-28,Prague,,CZE,CZE,72,190,2014,WSH,1,13,13
Jalen Chatfield,CAR,D,28,1996-05-15,Ypsilanti,MI,USA,USA,73,188,-,-,-,-,-
James Malatesta,CBJ,LW,21,2003-05-31,Montreal,QC,CAN,CAN,69,185,2021,CBJ,5,5,133
James van Riemsdyk,CBJ,LW,35,1989-05-04,Middletown,NJ,USA,USA,75,208,2007,PHI,1,2,2
Jamie Benn,DAL,LW,35,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,DAL,5,8,129
Jamie Drysdale,PHI,D,23,2002-04-08,Toronto,ON,CAN,CAN,71,183,2020,ANA,1,6,6
Jamie Oleksiak,SEA,D,32,1992-12-21,Toronto,ON,CAN,CAN,79,257,2011,DAL,1,14,14
Jan Jenik,OTT,C,24,2000-09-15,Nymburk,,CZE,CZE,73,185,2018,ARI,3,3,65
Jan Rutta,SJS,D,34,1990-07-29,Pisek,,CZE,CZE,75,204,-,-,-,-,-
Jani Hakanpaa,TOR,D,33,1992-03-31,Kirkkonummi,,FIN,FIN,78,225,2010,STL,4,14,104
Jani Nyman,SEA,RW,20,2004-07-30,,,FIN,,74,212,2022,SEA,2,17,49
Jansen Harkins,ANA,C,27,1997-05-23,Cleveland,OH,USA,USA,73,182,2015,WPG,2,17,47
Jared McCann,SEA,LW,28,1996-05-31,Stratford,ON,CAN,CAN,73,191,2014,VAN,1,24,24
Jared Spurgeon,MIN,D,35,1989-11-29,Edmonton,AB,CAN,CAN,69,166,2008,NYI,6,5,156
Jaret Anderson-Dolan,WPG,C,25,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,L.A,2,10,41
Jason Dickinson,CHI,C,29,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,DAL,1,29,29
Jason Polin,COL,RW,25,1999-06-17,,,USA,,72,198,-,-,-,-,-
Jason Robertson,DAL,LW,25,1999-07-22,Arcadia,CA,USA,USA,75,200,2017,DAL,2,8,39
Jason Zucker,BUF,LW,33,1992-01-16,Newport Beach,CA,USA,USA,71,192,2010,MIN,2,29,59
Jaycob Megna,FLA,D,32,1992-12-10,Plantation,FL,USA,USA,78,220,2012,ANA,7,29,210
Jayden Struble,MTL,D,23,2001-09-08,,,USA,,72,202,2019,MTL,2,15,46
Jean-Gabriel Pageau,NYI,C,32,1992-11-11,Ottawa,ON,CAN,CAN,71,185,2011,OTT,4,5,96
Jeff Malott,LAK,LW,28,1996-08-07,Burlington,ON,CAN,CAN,75,201,-,-,-,-,-
Jeff Petry,DET,D,37,1987-12-09,Ann Arbor,MI,USA,USA,75,209,2006,EDM,2,15,45
Jeff Skinner,EDM,"C, LW",32,1992-05-16,Toronto,ON,CAN,CAN,71,197,2010,CAR,1,7,7
Jeffrey Viel,BOS,LW,28,1997-01-28,Rimouski,QC,CAN,CAN,74,205,-,-,-,-,-
Jere Innala,COL,LW,27,1998-03-17,,,FIN,,69,183,-,-,-,-,-
Jeremy Lauzon,NSH,D,27,1997-04-28,Val D'or,QC,CAN,CAN,73,204,2015,BOS,2,22,52
Jesper Boqvist,FLA,C,26,1998-10-30,Falun,,SWE,SWE,72,180,2017,N.J,2,5,36
Jesper Bratt,NJD,LW,26,1998-07-30,Stockholm,,SWE,SWE,70,175,2016,N.J,6,11,162
Jesperi Kotkaniemi,CAR,C,24,2000-07-06,Pori,,FIN,FIN,74,201,2018,MTL,1,3,3
Jesse Puljujarvi,"FLA, PIT",RW,26,1998-05-07,Alvkarleby,,SWE,FIN,76,201,2016,EDM,1,4,4
Jett Luchanko,PHI,C,18,2006-08-21,,,CAN,,71,180,2024,PHI,1,13,13
Jimmy Schuldt,SJS,D,29,1995-05-11,Minnetonka,MN,USA,USA,73,203,-,-,-,-,-
Jimmy Snuggerud,STL,RW,20,2004-06-01,,,USA,,73,186,2022,STL,1,23,23
Jimmy Vesey,"COL, NYR",LW,31,1993-05-26,Boston,MA,USA,USA,75,202,2012,NSH,3,5,66
Jiri Kulich,BUF,C,21,2004-04-14,Kadan,,CZE,CZE,71,172,2022,BUF,1,28,28
Joakim Kemell,NSH,RW,20,2004-04-27,,,FIN,,71,182,2022,NSH,1,17,17
Joe Veleno,"CHI, DET",C,25,2000-01-13,Montreal,QC,CAN,CAN,73,203,2018,DET,1,30,30
Joel Armia,MTL,RW,31,1993-05-31,Pori,,FIN,FIN,75,216,2011,BUF,1,16,16
Joel Edmundson,LAK,D,31,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,STL,2,16,46
Joel Eriksson Ek,MIN,C,28,1997-01-29,Karlstad,,SWE,SWE,75,207,2015,MIN,1,20,20
Joel Farabee,"CGY, PHI",LW,25,2000-02-25,Syracuse,NY,USA,USA,72,183,2018,PHI,1,14,14
Joel Hanley,CGY,D,33,1991-06-08,Keswick,ON,CAN,CAN,71,190,-,-,-,-,-
Joel Kiviranta,COL,LW,29,1996-03-23,Vantaa,,FIN,FIN,71,185,-,-,-,-,-
Joey Anderson,CHI,RW,26,1998-06-19,Roseville,MN,USA,USA,72,207,2016,N.J,3,12,73
John Beecher,BOS,C,24,2001-04-05,Elmira,NY,USA,USA,75,215,2019,BOS,1,30,30
John Carlson,WSH,D,35,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
John Farinacci,BOS,C,24,2001-02-14,,,USA,,71,197,2019,ARI,3,14,76
John Hayden,SEA,C,30,1995-02-14,Chicago,IL,USA,USA,75,223,2013,CHI,3,13,74
John Klingberg,EDM,D,32,1992-08-14,Gothenburg,,SWE,SWE,75,190,2010,DAL,5,11,131
John Ludvig,COL,D,24,2000-08-02,Liberec,,CZE,CZE,73,213,2019,FLA,3,7,69
John Marino,UTA,D,27,1997-05-21,Brockton,MA,USA,USA,73,181,2015,EDM,6,3,154
John Tavares,TOR,C,34,1990-09-20,Mississauga,ON,CAN,CAN,73,216,2009,NYI,1,1,1
Johnathan Kovacevic,NJD,D,27,1997-07-12,Niagara Falls,ON,CAN,CAN,76,208,2017,WPG,3,12,74
Jon Merrill,MIN,D,33,1992-02-03,Oklahoma City,OK,USA,USA,75,204,2010,N.J,2,8,38
Jonah Gadjovich,FLA,LW,26,1998-10-12,Whitby,ON,CAN,CAN,74,209,2017,VAN,2,24,55
Jonas Brodin,MIN,D,31,1993-07-12,Karlstad,,SWE,SWE,74,196,2011,MIN,1,10,10
Jonas Rondbjerg,VGK,RW,26,1999-03-31,Horsholm,,DNK,DNK,74,203,2017,VGK,3,3,65
Jonas Siegenthaler,NJD,D,27,1997-05-06,Zurich,,CHE,CHE,74,218,2015,WSH,2,27,57
Jonatan Berggren,DET,RW,24,2000-07-16,Uppsala,,SWE,SWE,71,197,2018,DET,2,2,33
Jonathan Drouin,COL,LW,30,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,T.B,1,3,3
Jonathan Huberdeau,CGY,"C, LW",31,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,200,2011,FLA,1,3,3
Jonathan Lekkerimaki,VAN,RW,20,2004-07-24,,,SWE,,71,172,2022,VAN,1,15,15
Jonathan Marchessault,NSH,RW,34,1990-12-27,Cap-Rouge,QC,CAN,CAN,69,183,-,-,-,-,-
Jonny Brodzinski,NYR,C,31,1993-06-19,Ham Lake,MN,USA,USA,72,212,2013,L.A,5,27,148
Joona Koppanen,PIT,LW,27,1998-02-25,Tampere,,FIN,FIN,77,216,2016,BOS,5,14,135
Jordan Eberle,SEA,RW,34,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,EDM,1,22,22
Jordan Greenway,BUF,LW,28,1997-02-16,Canton,NY,USA,USA,78,231,2015,MIN,2,20,50
Jordan Harris,CBJ,D,24,2000-07-07,Haverhill,MA,USA,USA,71,189,2018,MTL,3,9,71
Jordan Kyrou,STL,"C, RW",26,1998-05-05,Toronto,ON,CAN,CAN,73,196,2016,STL,2,5,35
Jordan Martinook,CAR,LW,32,1992-07-25,Brandon,MB,CAN,CAN,72,196,2012,PHX,2,28,58
Jordan Oesterle,"BOS, NSH",D,32,1992-06-25,Dearborn Heights,MI,USA,USA,72,187,-,-,-,-,-
Jordan Spence,LAK,D,24,2001-02-24,Manly,,AUS,AUS,70,180,2019,L.A,4,2,95
Jordan Staal,CAR,C,36,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,PIT,1,2,2
Joseph LaBate,CBJ,C,32,1993-04-16,Burnsville,MN,USA,USA,77,210,2011,VAN,4,10,101
Josh Anderson,MTL,RW,30,1994-05-07,Burlington,ON,CAN,CAN,75,218,2012,CBJ,4,4,95
Josh Doan,UTA,RW,23,2002-02-01,,,USA,,73,183,2021,ARI,2,5,37
Josh Dunne,BUF,C,26,1998-12-08,O'Fallon,MO,USA,USA,76,211,-,-,-,-,-
Josh Manson,COL,D,33,1991-10-07,Hinsdale,IL,USA,CAN,75,218,2011,ANA,6,9,160
Josh Morrissey,WPG,D,30,1995-03-28,Calgary,AB,CAN,CAN,72,185,2013,WPG,1,13,13
Josh Norris,"BUF, OTT",C,25,1999-05-05,Oxford,MI,USA,USA,74,195,2017,S.J,1,19,19
Joshua Brown,EDM,D,31,1994-01-21,London,ON,CAN,CAN,77,220,2013,FLA,6,1,152
Joshua Mahura,SEA,D,26,1998-05-05,St. Albert,AB,CAN,CAN,72,185,2016,ANA,3,24,85
Joshua Roy,MTL,RW,21,2003-08-06,Saint-Georges-De-Beauce,QC,CAN,CAN,72,193,2021,MTL,5,22,150
Juha Jaaska,CAR,LW,27,1998-02-09,,,FIN,,72,196,-,-,-,-,-
Julien Gauthier,NYI,RW,27,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,224,2016,CAR,1,21,21
Juraj Slafkovsky,MTL,LW,21,2004-03-30,Kosice,,SVK,SVK,75,238,2022,MTL,1,1,1
Justin Barron,"MTL, NSH",D,23,2001-11-15,Halifax,NS,CAN,CAN,74,201,2020,COL,1,25,25
Justin Brazeau,"BOS, MIN",RW,27,1998-02-02,New Liskeard,ON,CAN,,77,220,-,-,-,-,-
Justin Danforth,CBJ,RW,32,1993-03-15,Oshawa,ON,CAN,CAN,69,190,-,-,-,-,-
Justin Dowling,NJD,C,34,1990-10-01,Calgary,AB,CAN,CAN,70,180,-,-,-,-,-
Justin Faulk,STL,D,33,1992-03-20,South St.Paul,MN,USA,USA,72,214,2010,CAR,2,7,37
Justin Holl,DET,D,33,1992-01-30,Tonka Bay,MN,USA,USA,75,197,2010,CHI,2,24,54
Justin Hryckowian,DAL,C,24,2001-02-23,,,CAN,,70,194,-,-,-,-,-
Justin Kirkland,CGY,C,28,1996-08-02,Winnipeg,MB,CAN,CAN,75,183,2014,NSH,3,2,62
Justin Robidas,CAR,C,22,2003-03-13,Plano,TX,USA,USA,68,173,2021,CAR,5,19,147
Justin Sourdif,FLA,RW,23,2002-03-24,,,CAN,,71,180,2020,FLA,3,25,87
Juuso Parssinen,"COL, NSH, NYR",C,24,2001-02-01,Hameenlinna,,FIN,FIN,75,212,2019,NSH,7,24,210
Juuso Valimaki,UTA,D,26,1998-10-06,Tampere,,FIN,FIN,74,205,2017,CGY,1,16,16
K'Andre Miller,NYR,D,25,2000-01-21,St. Paul,MN,USA,USA,77,215,2018,NYR,1,22,22
Kaapo Kakko,"NYR, SEA",RW,24,2001-02-13,Turku,,FIN,FIN,74,206,2019,NYR,1,2,2
Kaedan Korczak,VGK,D,24,2001-01-29,Yorkton,SK,CAN,CAN,75,202,2019,VGK,2,10,41
Kaiden Guhle,MTL,D,23,2002-01-18,Edmonton,AB,CAN,CAN,74,205,2020,MTL,1,16,16
Kailer Yamamoto,UTA,RW,26,1998-09-29,Spokane,WA,USA,USA,68,153,2017,EDM,1,22,22
Karsen Dorwart,PHI,LW,22,2002-09-17,,,,,73,194,-,-,-,-,-
Kasperi Kapanen,"EDM, STL",RW,28,1996-07-23,Kuopio,,FIN,FIN,73,194,2014,PIT,1,22,22
Keaton Middleton,COL,D,27,1998-02-10,Edmonton,AB,CAN,CAN,78,240,2016,TOR,4,10,101
Keegan Kolesar,VGK,RW,28,1997-04-08,Brandon,MB,CAN,CAN,74,217,2015,CBJ,3,8,69
Kent Johnson,CBJ,C,22,2002-10-18,Port Moody,BC,CAN,CAN,72,175,2021,CBJ,1,5,5
Kevin Bahl,CGY,D,24,2000-06-27,New Westminster,BC,CAN,CAN,78,230,-,-,-,-,-
Kevin Fiala,LAK,LW,28,1996-07-22,St. Gallen,,CHE,CHE,70,204,2014,NSH,1,11,11
Kevin Gravel,NSH,D,33,1992-03-06,Kingsford,MI,USA,USA,76,205,2010,L.A,5,28,148
Kevin Hayes,PIT,RW,32,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,CHI,1,24,24
Kevin Korchinski,CHI,D,20,2004-06-21,Saskatoon,SK,CAN,CAN,73,185,2022,CHI,1,7,7
Kevin Labanc,CBJ,RW,29,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,S.J,6,21,171
Kevin Rooney,CGY,C,31,1993-05-21,Canton,MA,USA,USA,74,190,-,-,-,-,-
Kevin Stenlund,UTA,C,28,1996-09-20,Huddinge,,SWE,SWE,77,215,2015,CBJ,2,28,58
Kiefer Sherwood,VAN,LW,30,1995-03-31,Columbus,OH,USA,USA,72,194,-,-,-,-,-
Kieffer Bellows,NSH,LW,26,1998-06-10,Edina,MN,USA,USA,73,195,2016,NYI,1,19,19
Kirby Dach,MTL,C,24,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,212,2019,CHI,1,3,3
Kirill Kaprizov,MIN,LW,27,1997-04-26,Novokuznetsk,,RUS,RUS,70,202,2015,MIN,5,14,135
Kirill Kudryavtsev,VAN,D,21,2004-02-05,,,RUS,,71,200,2022,VAN,7,15,208
Kirill Marchenko,CBJ,RW,24,2000-07-21,Barnaul,,RUS,RUS,75,197,2018,CBJ,2,18,49
Klim Kostin,SJS,C,25,1999-05-05,Penza,,RUS,RUS,75,215,2017,STL,1,31,31
Kris Letang,PIT,D,37,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
Kurtis MacDermid,NJD,LW,31,1994-03-25,Sauble Beach,ON,CAN,CAN,77,233,-,-,-,-,-
Kyle Burroughs,LAK,D,29,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,NYI,7,15,196
Kyle Capobianco,DAL,D,27,1997-08-13,Mississauga,ON,CAN,CAN,74,201,2015,ARI,3,2,63
Kyle Connor,WPG,LW,28,1996-12-09,Shelby Twp.,MI,USA,USA,74,179,2015,WPG,1,17,17
Kyle MacLean,NYI,C,25,1999-04-29,,,USA,,73,190,-,-,-,-,-
Kyle Palmieri,NYI,C,34,1991-02-01,Smithtown,NY,USA,USA,71,198,2009,ANA,1,26,26
Landon Slaggert,CHI,LW,22,2002-06-25,,,USA,,72,180,2020,CHI,3,17,79
Lane Hutson,MTL,D,21,2004-02-14,,,USA,,69,158,2022,MTL,2,30,62
Lars Eller,"PIT, WSH",C,35,1989-05-08,Rodovre,,DNK,DNK,74,205,2007,STL,1,13,13
